file,config_type,n_frames,E_MACE,F_MACE,E_MACE_D3,F_MACE_D3,E_MACE_GNB,F_MACE_GNB,E_MACELES,F_MACELES,E_MACELES_GNB,F_MACELES_GNB,E_GAP20,F_GAP20
Hittorf_ActaB1969_isolated_layer.xyz,unknown,1,18.26,46.93,276.78,60.04,0.64,33.86,84.15,97.84,11.15,61.46,,
Hittorf_Angew2020_isolated_layer.xyz,unknown,1,18.39,45.96,277.75,59.58,0.62,34.93,86.42,100.88,11.46,63.06,,
P_test_set.xyz,2D,309,9.19,44.03,310.99,52.36,3.53,35.23,8.99,51.54,3.93,39.96,13,129
P_test_set.xyz,cryst_dist,241,1.88,26.77,321.82,32.79,1.47,21.32,3.17,33.72,1.87,23.49,15,186
P_test_set.xyz,cryst_dist_hp,337,56.02,875.71,683.24,4825.75,160.36,114.43,55.26,388.77,46.18,42.53,,
P_test_set.xyz,liq_12_03_01_liqP4,22,5.53,47.96,189.27,57.15,2.52,34.34,9.10,43.50,3.77,34.04,8,226
P_test_set.xyz,liq_12_03_02_network,41,5.38,243.07,262.10,245.03,3.47,246.22,6.56,233.02,3.60,236.37,11,201
P_test_set.xyz,liq_P4,100,7.59,126.97,290.25,129.34,2.62,122.81,4.97,121.01,3.62,123.42,8,226
P_test_set.xyz,rss_005,247,33.04,290.73,388.61,3294.64,34.28,313.39,32.68,320.93,29.56,310.58,,
P_test_set.xyz,rss_200,154,25.57,231.82,360.32,237.44,22.07,224.37,26.49,218.27,24.66,207.83,55,382
P_test_set.xyz,rss_3c,100,11.75,137.66,351.56,141.20,11.06,135.32,13.03,143.63,12.61,138.58,58,375
P_test_set.xyz,rss_rnd,50,76.86,648.89,354.03,649.51,59.49,549.26,65.55,571.21,64.82,597.50,116,694
phosphorene_ribbon_armchair.xyz,unknown,1,2.73,95.55,216.51,107.04,4.18,52.54,12.17,71.61,8.38,81.77,,
phosphorene_ribbon_single_layer.xyz,unknown,1,10.30,12.34,261.93,31.32,3.75,10.05,4.13,14.69,2.98,7.68,,
phosphorene_ribbon_zigzag.xyz,unknown,1,8.58,74.00,218.55,96.86,5.75,45.69,11.07,52.15,3.58,40.61,,
